polymer,monomer_phi,homo_lumo_gap,chi_water,num_fluorine,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C1C(C(*)=O)=CC1C(=O)c1ccccc1,-0.22077906131744385,2.340146780014038,1.368464708328247,-18.0,-0.09039575,1.5303268,-0.0774801,0.4366254,-0.09881042,0.6532556,0.041662417,0.0012371426,0.041553974,0.05902215,-1.1768059,-0.08494559,0.94974583,0.052963473,-0.01262942,-0.08166519,0.037279014,1.5789878,1.4373189,0.019631723,0.02238197,-0.08556079,-0.023900285,-0.056449257,-0.043014634,-0.08477991,-0.62301344,-0.48584118,2.425129,-0.055879887,-0.09560464,0.0066258167,-1.2597324,0.002377428,-0.020191777,1.1877987,0.017805137,0.005623953,-1.1542761,-0.086128205,-0.063387156,1.9984778,0.040737532,-0.10535451,0.10648863,0.55637753,-0.07896689,-0.32216617,-0.031156767,0.3309139,0.97918576,-0.029130243,2.2714546,-0.093527064,-0.06380239,-3.9552348,-3.220087,-1.3115493,-2.4650865,0.0017312842,-1.0061191,-0.08293104,-2.6694925,1.9719552,0.4462718,-0.07785536,-1.6999677,-0.67637366,0.0024234809,-0.053569462,0.29830506,-0.090159364,0.0045508044,-0.76285625,-0.35271806,0.030581051,2.0104737,-0.032679655,-0.6777868,0.034056116,-0.059236728,-2.8897576,-0.14545591,-0.06329398,0.0471173,-1.7726295,0.08391955,-0.24204291,-1.755626,-0.1346301,-0.053639617,-0.53151417,-0.05241845,-0.009390274,0.011729454,-0.026985819,0.08093261,-0.001970815,0.12793826,-0.057687804,0.0148262605,-0.92071784,-0.09926341,-0.07456367
*OCCC(F)CC(F)CCOC(=O)C=CC=C(C=C)Cc1ccc(C(*)=O)cc1,-0.347935289144516,2.6729867458343506,1.299132227897644,-2.0,-0.026522819,-1.3563517,-0.00661974,3.141165,-0.02203546,0.02826976,-0.009495516,-0.03352688,0.06351705,-0.37314385,-0.94370323,0.012870302,1.2064824,0.012954225,-0.33992127,-0.11905724,0.09087399,-1.1346372,2.433823,0.007391303,0.020736394,-0.0056272387,-0.011081789,-0.07502419,-0.07562694,-0.04451003,-0.6897494,1.6620135,1.52893,-0.034403384,-0.10861812,-0.013941726,-0.28835556,-0.011598957,0.07209716,-0.3079051,-0.019077191,-0.0071817315,-0.012737882,-0.75323766,-0.0838119,-1.1711712,-0.0017072443,-0.123663016,-0.09708255,-1.0726155,-0.02447764,0.90290487,-0.037406374,-2.924674,0.06694255,-0.024375044,0.8554335,2.3487391,-0.005899818,-3.556499,-1.258362,-0.0013570221,-4.3030124,-0.039574724,0.27263245,-0.047981177,-4.0480366,1.4540442,-0.80295146,0.022212101,0.413592,-0.7808143,-0.44985265,0.009308477,2.0083127,-0.055002026,1.7234567,-2.3272147,0.32006845,-0.040607408,0.75951666,-0.068424344,0.9328235,0.0010488803,-0.07567581,-0.9097638,-0.05021457,-0.05001567,0.057296403,0.617583,0.031705353,-0.50152487,0.8340654,-0.13910682,-0.0038506975,-0.58445525,-0.025632743,-0.051701523,0.0025787323,-0.024097053,0.10287395,0.06543489,0.059947077,-0.061013516,-0.02302493,-2.6145344,-0.0031682206,-0.062108055
*OCc1cccc(OC(=O)C=CC=C(C=C)C(C)(C)c2ccc(C(*)=O)cc2)c1S(=O)(=O)O,-0.24595555663108826,2.590869665145874,1.0953316688537598,-0.0,-0.004541983,0.21866928,-0.10935651,1.5668317,-0.113112986,0.7112969,-0.05457709,0.017249424,0.02881156,-0.14978181,-2.741286,-0.03958252,0.35574448,0.008796471,-0.039553836,-0.054318,0.064755656,1.6486762,-0.38610932,-0.020448932,0.038984615,-0.014377282,0.020906009,-0.0814371,-0.0709694,-0.059409674,-3.2202945,0.57942945,1.9699433,-0.06208496,-0.1260079,0.03031023,-1.184171,-0.02966913,-0.021636058,0.97378373,0.15192662,-0.040237505,-1.4613605,1.8065206,-0.004937208,0.5889135,-0.032804735,-0.09501032,0.071138754,-0.97274864,-0.097765684,-1.5418062,-0.0394941,-0.98207986,-1.4214369,0.028926492,-0.87247735,0.62649995,0.016114352,-2.0063834,-1.2750679,1.7950286,-2.496738,-0.01178631,-0.5520271,-0.052055914,-3.1029215,1.7273992,1.1918293,-0.024073908,0.8038427,-0.81988823,-0.91748977,-0.06892888,1.7259189,-0.10279823,0.034005906,0.3766226,0.94788694,-0.010391026,1.0135634,-0.05934103,2.8111827,-0.0035515192,-0.0011196168,-0.1310135,-0.13794693,-0.028104264,0.07477393,-2.3999689,-0.016367596,0.62908757,-1.5313042,-0.09616605,0.01069371,0.14719917,-0.04813009,-0.020778183,-0.06779572,-0.07200082,0.08342134,0.02343928,0.11360784,-0.088396534,0.009844378,0.11014771,-0.04061125,-0.083677225
*OC1C=CC=C(OC(=O)C=CC=C(Cc2ccc(C(*)=O)cc2)C(=C)C(=O)C(F)F)C=C1F,-0.2634788751602173,2.1841301918029785,1.243667483329773,-3.0,-0.09214603,-0.45233995,-0.085260086,2.1035197,-0.030745912,0.34897465,0.025539426,-0.06317488,-0.021461524,-0.0052608503,-3.4818897,-0.008969989,0.17628549,0.041220967,0.11813763,-0.12758683,0.10438381,0.16524535,2.8986235,-0.064174525,0.023895264,-0.038816836,0.00645141,-0.04794301,-0.00041085374,-0.09049499,-1.8954684,1.3326199,2.9701388,-0.009466463,-0.078088604,0.046884265,-0.78199565,-0.04823357,0.0004634628,0.7545728,0.17996866,-0.066737525,-0.5668096,1.8283811,-0.029707953,-0.6357543,-0.046553448,-0.10419054,0.030791044,1.1102355,-0.050438542,-2.1985855,-0.051034797,-2.2491271,-0.1372301,-0.061954506,0.527822,0.011826959,-0.05056629,-3.2256207,-0.98770976,-1.4599186,-1.5150173,-0.05336914,0.85319847,-0.091635704,-1.5845404,1.1167761,-0.29501894,-0.05800865,0.80782,0.3633297,-0.5797265,-0.07358318,0.8927062,-0.07115102,1.2401565,-1.9410119,1.3935349,0.06616484,0.5180713,-0.07194541,1.8570793,-0.033842262,-0.0011695062,-1.2457078,-0.08226552,-0.041119803,0.080791876,1.2140888,0.07455593,-1.0351977,1.623444,-0.17727274,-0.038311142,0.06261412,0.009146274,-0.00195201,0.018681506,-0.04830829,0.114490435,0.0117439,0.042873796,-0.117029876,0.024737522,-2.3597097,-0.030487303,-0.032964863
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CC(CC(*)=O)c1ccccc1,-0.2888609766960144,3.9843924045562744,1.354145884513855,-12.0,-0.02534903,-1.9044693,-0.012563938,-0.13103224,-0.08824499,0.8729371,0.04452368,-0.034517936,0.05693523,0.1073721,-0.60362107,-0.046483677,0.5260891,-0.011112528,-0.009442275,-0.051487833,0.045456957,-0.06835412,1.086717,-0.015074835,0.070378534,-0.073375165,0.005087658,-0.062646516,-0.0015642327,-0.046975426,-2.880452,-0.2344797,1.0029322,-0.059546325,-0.106687784,0.016333038,-1.4016918,-0.025066493,0.008570368,1.1616923,-0.006769445,-0.059396464,-1.2653714,-1.5853355,-0.028081285,0.56311446,0.01168556,-0.031990837,-0.05296128,0.12612286,0.0012003451,-1.7866942,-0.06897656,-1.3665951,-1.8505708,0.023426622,-0.13435425,0.094158284,0.023933237,-3.9049692,-0.92868537,-1.9892076,-2.6212435,-0.040997557,-0.87393093,-0.023308817,-2.3059747,1.7351652,0.02028615,-0.0056658597,-0.6495779,-0.53159225,0.06930729,-0.019278431,-0.36554974,-0.02526676,-0.072495885,-0.3060433,0.77410746,0.027042644,0.23897111,-0.028330354,1.28508,0.024513017,-0.015051052,-2.6532829,-0.080738,-0.014933755,0.07484688,-0.29660353,0.02380601,0.6080458,0.22136706,-0.09469465,0.01407124,-0.28342214,0.012131824,-0.009514035,-0.040636316,0.0072873845,0.060162105,0.019214438,0.093334004,-0.119576894,0.016221855,0.4272485,-0.03583911,-0.007448178
*OCCCCCOC(=O)CCc1ccc(CCCC(*)=O)cc1,-0.436158150434494,3.9665780067443848,1.3247804641723633,-0.0,-0.10251363,-1.7114162,-0.051799573,0.14645348,-0.08869241,-0.18666533,0.051429324,-0.020099476,0.038348053,0.10615834,-0.27862293,-0.07353938,1.6864628,-0.0112771,-0.045668144,-0.09177004,0.009330431,0.037304543,1.719959,0.015547997,0.035391413,-0.073167086,-0.06243442,-0.048211873,-0.05724071,-0.050417885,-3.2270913,-0.33584297,2.7951045,-0.011730338,-0.03599997,0.029552931,-2.941973,0.008856179,0.042278033,0.78186196,-0.030748665,-0.0041838796,0.7452376,1.6520879,0.00042129448,0.49847293,-0.053866047,-0.054751735,-0.12072071,-0.37376416,-0.082531326,0.55292445,-0.005892482,-2.2173479,-2.0015736,0.0012422965,-0.6177002,1.1764724,0.025620375,-2.8987026,-2.0733755,0.46680298,-1.9432564,-0.06188461,-0.17612843,-0.09771354,-2.3037875,2.554774,1.9100071,-0.0671244,-0.34540147,0.2367356,-0.9145625,-0.019856827,0.24857542,-0.094133444,1.2991362,-1.979323,-0.125778,-0.026734348,1.8684965,-0.051258456,-0.25027856,0.009591406,-0.082974546,-2.5511377,-0.13368501,0.03742558,0.026529921,-0.13325326,0.08847996,0.7925841,-0.7580106,-0.11777534,-0.014455984,-0.27498814,-0.06827908,-0.061822053,0.0058870744,0.0016661189,0.070667535,0.050620645,0.0412229,-0.036239356,0.006696142,-0.21109787,-0.057663117,-0.08413963
*OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)C=CC1=CC=C(C(*)=O)C1CC(C)C,-0.25236591696739197,2.67149019241333,1.4218077659606934,-16.0,-0.09523408,0.36540464,-0.07855469,2.371396,-0.12351513,-1.6375386,0.014181702,-0.010784061,-0.019344661,-0.09859984,-1.609241,-0.071431264,0.32918945,0.06258249,-0.07478324,-0.09414592,0.06940983,1.8980405,0.5971592,-0.04560062,0.003542272,-0.0016041269,-0.050063252,-0.08781902,-0.0785902,0.014132193,-1.7415757,-0.328757,2.2398982,-0.07184473,-0.108646505,-0.05196347,-0.19043033,-0.020926142,0.0038572887,-0.9670681,0.03814904,-0.08110076,-0.61097604,-0.25934857,-0.016579976,-0.7689252,0.03297397,-0.14470597,-0.0053343726,1.299268,-0.005306576,-2.2560694,-0.027968839,0.2991097,-0.6905329,-0.04131948,1.3024055,0.058436763,-0.045692664,-4.0931664,-3.2308187,1.1584955,-2.4002602,-0.02106043,-0.42979097,-0.075837456,-3.9270246,1.9225873,0.57812226,-0.06177861,1.0611066,-0.04170706,-0.24192582,-0.010976283,-0.020931313,-0.03416976,0.7851288,-2.492953,1.556238,0.053474706,-0.3821758,-0.033097275,2.731053,0.014237324,-0.059195746,-0.36291784,-0.10653086,-0.059241556,0.0064424956,-1.3250028,0.046007026,-0.72756475,1.4272969,-0.14480762,0.0056263017,-0.26832235,-0.025817124,-0.076365724,-0.027642246,0.0015846861,0.0040006083,0.09060352,0.072389655,-0.09385592,0.010557661,-2.4289603,-0.033967074,0.0064860345
*OCC(C)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=CC(=CC(*)=O)C(C)(C)C,-0.2751660943031311,3.105785608291626,1.4384061098098755,-9.0,-0.0018701389,-1.7284197,-0.059427574,1.6975117,-0.09203952,-0.541512,0.0040688226,0.017506426,-0.01659305,-0.061132014,-1.2673122,-0.07170023,1.698914,-0.01627434,-0.056506734,-0.06398619,0.103890054,-0.40964073,-0.089577526,-0.038355306,-0.0059192437,-0.03947193,-0.060983855,-0.08232443,-0.04498874,-0.08726079,-1.5311742,0.14780086,2.1495438,-0.0012120286,-0.035881627,0.04054048,-0.48150778,-0.049292106,0.09051321,0.10483918,0.22501025,-0.03537507,-0.4737429,2.3188686,-0.0321943,2.149436,0.036836963,-0.14514233,-0.158222,-0.40176538,-0.0901721,-2.6464322,-0.035364877,0.13119812,-0.94986004,-0.020557994,1.1233968,2.1308217,0.022689927,-2.601238,-1.3920187,1.4865819,-4.4772925,-0.0008811097,-0.9462316,-0.012203044,-2.0960262,1.5034941,-1.4119054,-0.061129577,-1.3315942,0.50660235,-0.15061167,-0.065152176,-0.8359861,-0.01811509,1.48125,-0.11809323,2.0529113,-0.013337076,1.6181824,-0.08853574,2.0556836,-0.055883862,-0.048947584,-2.3329895,-0.055123903,0.04405467,0.02065062,0.3837082,0.017910542,-1.208557,0.20429623,-0.15567948,-0.008619491,0.14017753,0.014713068,-0.0848169,0.026251655,-0.042633172,0.06257454,0.06281572,0.034700785,-0.03999013,0.05362554,0.00068513415,-0.08453541,-0.041449606
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=CC(=CC=Cn1cnnn1)C(*)=O,-0.2540800869464874,2.639207601547241,1.1222201585769653,-8.0,-0.0049402467,-1.0245353,-0.06751806,1.7616806,-0.020005189,2.027649,0.049817223,-0.00044157737,-0.01394289,0.002000075,-3.5421548,-0.0188716,0.20934752,0.06188361,-0.22688647,-0.052381016,0.09094667,-0.054989014,1.6298747,0.02347261,0.02967197,-0.053040665,-0.05623802,-0.15270214,-0.08445904,-0.014619176,-2.3164344,1.1030446,1.3526928,-0.046463795,-0.06374034,0.039173216,-1.8267473,-0.05773108,0.08023985,-0.5239434,0.17623326,-0.040448673,0.13279097,1.0614512,-0.05969471,1.1041278,-0.024279179,-0.10743473,-0.09526219,2.3095596,-0.07855813,-0.5464822,-0.031022856,-2.5177705,-0.48771906,-0.033963073,-1.06347,2.4009447,0.016727572,-2.7159703,-3.3660157,1.4839724,-3.3787467,-0.06353647,0.62742966,-0.07189037,-4.0626135,0.9502275,1.2795774,0.008313131,-0.9681439,-0.73498315,0.3197359,-0.051986597,-0.9233275,-0.049414784,0.79070354,-1.1356688,1.9864334,-0.02145055,0.54417956,-0.059038002,-0.28103843,0.019313999,0.009621925,-2.521796,-0.05234478,-0.05974641,0.06469214,-0.8387085,0.047431923,-0.41176155,0.48844448,-0.15465033,-0.04794755,0.033298034,-0.018286072,0.0012176457,-0.016258176,-0.067981675,0.029999807,0.0511928,0.09391627,-0.021905737,0.043635238,0.378244,0.003817998,0.006900527
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1cccc(C(*)=O)c1,-0.23931217193603516,3.0858168601989746,1.3267627954483032,-8.0,-0.07062425,-0.067163825,-0.10507413,1.408973,-0.028598668,1.4329746,-0.053555742,0.016367983,-0.023618424,-0.3847266,-3.4994595,-0.08209288,1.7304126,0.0316137,0.10212078,-0.058993492,0.008528434,1.5477189,2.0352376,-0.00035464636,0.06333328,0.0066267615,-0.00963295,-0.10644848,-0.023907548,-0.057986546,-0.21730117,1.2025769,3.400933,-0.0651226,-0.09766107,-0.025083102,-2.7093067,-0.028336203,0.07663813,0.19732617,0.25350457,-0.02595868,0.7513392,-1.3001103,-0.057186157,1.3419498,-0.04662412,-0.1384563,-0.014362265,2.0837672,0.0031676905,-0.884422,-0.025766062,-3.08539,-0.5276047,0.023163369,0.9619482,2.5169704,-0.06746666,-3.412764,-2.928471,-1.709498,-3.4162166,-0.019655641,0.6917948,-0.00944022,-3.5544007,0.052488353,1.9107428,-0.035940275,-1.0094309,-1.3376735,-0.43257025,-0.06788142,-0.6778076,-0.10517238,1.8086424,-0.50845593,1.4676927,-0.03530754,0.25147283,-0.044443846,1.577835,-0.06748669,0.00837099,-0.70341206,-0.07350211,-0.06567075,0.054556105,-0.84338105,0.057138253,-1.4949839,1.0257583,-0.10913764,-0.010698669,-0.20502448,0.0096210325,-0.07929841,-0.07837224,-0.044872742,0.0060728313,0.0656524,0.022534851,-0.057213932,-0.026440203,-2.2310517,0.0017444107,-0.08238827
