polymer,monomer_phi,homo_lumo_gap,chi_water,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,-0.033560928,-3.0670824,-0.000117541094,1.2803022,-0.0067753727,-0.99486923,0.0636809,0.020941561,0.071813524,-0.17829387,0.2818835,-0.010308434,-3.4115036,0.06471117,-0.02405326,-0.022217842,0.10585326,-0.94420886,0.67957723,0.07069425,0.056272864,0.071650006,-0.017646361,-0.095517516,-0.027511736,-0.06169313,0.68737197,0.24370152,0.48614725,0.018109148,-0.012670338,0.043840166,-0.4236609,0.010170039,0.1073572,-0.45780286,0.122874945,0.023358779,-1.0777284,-2.5208263,-0.019137293,-1.4099631,0.06502958,-0.035295922,-0.08704906,0.39358756,-0.01016398,2.5053418,0.04062863,-0.04041295,-0.58695066,0.009366156,3.3924267,-1.5634736,0.0005847787,-1.0673257,-0.5188194,1.3968215,-1.9009523,-0.0050974023,-1.054923,0.032563634,-1.0709565,1.723073,1.0848515,0.06722425,-0.3814436,-2.056262,0.5119035,0.0736795,1.2753001,-0.0025512064,1.3175533,0.85090065,-0.6271838,0.015383335,0.55724716,-0.0727644,-0.83644366,0.009098891,0.02616627,2.0789266,0.0028531211,0.02898002,0.062430535,0.45632073,0.062074848,-1.7520152,1.4934558,-0.13929628,0.0066599837,-0.11349029,-0.0013822427,0.023566242,0.039171297,0.07110787,0.088065125,0.11245192,0.075128734,-0.024465485,0.017299997,3.0895674,0.013887713,0.046928737
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1cccc(C)c1,-0.33125097,2.7071185,1.3473659,-0.0352703,-2.4991446,-0.009563062,0.08289317,-0.014153394,0.15071504,0.035784874,0.016779866,0.068623975,-0.13453594,2.20032,-0.014617118,-2.3137476,0.0431097,-0.0530407,-0.023663187,0.090039946,-0.79209954,0.054043327,0.05627462,0.07890081,0.040591277,0.0022605087,-0.10035709,-0.019259248,-0.06844802,-0.16279411,0.5270288,0.052747745,0.014149164,-0.007717957,0.016940694,-0.44325766,0.029071225,0.111658946,-0.44914502,0.086778395,-0.024438953,-1.083785,-2.6796424,-0.006339982,-1.636293,0.06614111,-0.033762407,0.026805313,0.2761046,-0.013531537,2.6893961,0.022141354,-0.2744211,0.11394241,0.004146874,2.9407632,-1.0415499,-0.015261357,-0.61382306,-0.5978067,1.9834427,-1.6335193,0.004236779,-0.50401515,0.06762755,0.060058057,1.844051,1.8110921,0.04428467,0.6417642,-0.41081876,0.23711738,0.03205246,1.8262254,-0.0099962875,1.5087689,0.32723644,-0.5383778,0.046175163,0.95972717,-0.032659933,-0.9999187,-0.00030395106,0.024343519,1.7991573,0.018357303,0.034705833,0.059488967,0.110452175,0.024743913,-1.5627996,0.969059,-0.09302795,0.009056363,-0.43679163,-0.01839301,0.02236624,0.029628903,0.029275123,0.056317136,0.08257027,0.10203953,0.010691365,0.035977095,2.8681157,-0.011993698,0.0072035873
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,0.0010248456,-1.8264089,0.0058566574,0.9126028,0.015336226,0.24509089,0.056612443,-0.005512602,0.109736614,-0.09366919,1.1172185,-0.014041348,-3.3772824,0.015136018,-0.020348411,-0.035527326,0.07581353,-0.9037247,1.1837956,0.079761155,0.093869925,0.03365262,0.025700176,-0.09870976,-0.026634276,-0.06717019,0.0240548,0.48229495,-0.3934347,0.001180997,-0.0022691244,0.040231355,0.245075,0.03542109,0.11243669,0.3813058,-0.015389188,0.0027804293,-0.31331506,-2.0260158,-0.011140499,-1.1663194,0.02357673,-0.0028505125,-0.09640701,-0.2746278,-0.0038713317,3.241566,0.0371786,-0.9272031,-0.14099391,0.02940549,2.8490348,-0.12810192,-0.02348338,-1.1987998,0.61289304,1.9662457,-1.3129437,-0.03545646,-0.55136985,0.054826465,0.039491285,2.1264577,2.1962297,0.033100065,0.32836568,-1.5513538,0.68328696,0.06558925,2.1274638,-0.008408963,1.1172113,0.33573842,-0.98844934,0.04016985,-0.23546997,-0.06974366,0.04568592,0.021124497,0.021812662,2.3371222,0.011149768,0.010683097,0.07307891,1.1473074,0.027249867,-1.463932,0.057522148,-0.14300509,0.036885273,-0.21544975,-0.014452517,-0.0032222446,0.041676432,0.036582626,0.0952299,0.06858461,0.059040047,-0.036244255,0.02314317,3.7138789,0.010492973,0.026429487
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,-0.0032880225,-1.7807056,-0.00866026,0.611158,0.0003533203,-0.5732053,0.013802165,0.011312957,0.09640722,-0.09770255,1.3362939,0.022474501,-2.2392325,0.06601831,-0.070912756,-0.005025825,0.08439941,-1.3956219,1.2057147,0.075377926,0.053328376,0.06966508,0.014049607,-0.09278793,0.010976872,-0.058886666,0.968896,0.7814803,0.027489748,0.019723691,0.00052114425,0.06278039,-0.6732784,0.0129804015,0.120084815,-0.7184963,-0.039200705,-0.026868148,-1.2390164,-3.230879,-0.04686675,-0.8445085,0.044505887,-0.027596168,-0.054931074,0.37286445,-0.0077732108,3.0057669,0.018238297,-0.19705136,-0.28052485,0.025966702,2.0861976,-0.5370176,-0.01058702,-0.44062784,-0.26837122,3.2299256,-2.7876678,0.014570268,-0.63646495,0.01687569,-0.959,1.5182639,0.95546514,0.061967507,-0.4039042,-1.9556614,0.58244526,0.06438258,0.9960918,-0.009383315,1.0500362,-0.34003094,-0.52799165,0.017376827,0.6231915,-0.023730287,0.31918818,0.028510526,0.051355883,1.5957716,-0.000121507306,0.038203668,0.071149655,1.0862159,0.034635108,-1.3111072,0.15670162,-0.13504986,0.039312523,-0.42709932,-0.018866282,0.016608156,0.029493926,0.071450114,0.04783548,0.09830738,0.10042153,-0.0026987954,0.033868104,3.207543,-0.014524361,0.043384884
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,-0.010177767,-2.5122757,0.018671146,0.22239877,0.009232687,-1.1373712,0.014861082,0.0006086122,0.11037346,-0.121015936,0.2789295,0.027235592,-1.7816422,0.022522775,-0.05523701,0.0019417909,0.090931386,-0.75761133,0.6069212,0.071260914,0.067429386,0.02214368,0.0005218604,-0.08172177,0.006334715,-0.04373066,1.0905015,0.4707429,-0.04290531,0.010454295,-0.021592924,0.06915043,-0.51418614,-0.0025110673,0.08027381,-0.1351651,0.028532347,0.0016338807,-0.9010715,-3.5059981,-0.036456294,-1.6467183,0.028634127,-0.029173601,-0.10389934,0.65663964,-0.0132391285,1.9556991,0.0018164499,0.11190216,-0.5391439,-0.009502688,3.4923763,-1.4976436,-0.02344267,0.14261287,-0.21967988,2.8251626,-1.5754088,-0.0137172695,-0.39280352,0.056926824,-0.71517354,1.093816,1.0340515,0.058720566,-0.08481608,-0.89411753,0.7067919,0.063490316,1.686962,-0.0030727123,0.9310543,0.18608868,-0.9132356,0.0593599,0.781186,-0.02968016,0.5455769,0.042985745,0.017687857,2.2352645,-0.01232343,0.05471358,0.08685643,0.35462815,0.043731216,-1.6790537,1.0070167,-0.099321775,0.033672504,-0.48741767,-0.00033831183,0.006562525,0.033370387,0.038117766,0.09241594,0.07655196,0.10303039,0.007766196,0.015724348,2.9536173,0.008152491,0.03215938
*OCCN(CCOC(=O)C(CCCCc1ccccc1)C(*)=O)c1ccccn1,-0.35518673,2.9571862,1.376002,0.0045176554,-2.5528262,-0.031102438,-0.08238851,0.008897052,0.05089367,0.060431227,0.04421674,0.10799927,-0.015416512,2.1520107,0.032576196,-2.3833518,0.016425401,0.1396837,-0.0075705345,0.0888482,-0.39108607,0.4247138,0.06858309,0.048295483,0.030840477,0.017522642,-0.05553838,0.0068525607,-0.055497598,1.0489346,-0.12567519,0.060389586,-0.0017722362,0.0005348525,0.06452677,0.16280398,0.036066663,0.102873296,-0.23072135,-0.040856954,-0.01563636,0.096655056,-2.6982672,-0.012263597,-0.13750252,0.023893073,0.00019204633,0.010645713,-0.26734343,-0.042863596,2.061627,0.04530879,0.043177165,-1.4518428,0.03124903,2.2975233,-1.4146869,-0.015960546,-0.019637562,0.7414647,1.8458637,-1.2795477,-0.0126457885,-0.95116115,0.041994162,-0.67585224,1.2039452,1.8356729,0.04712109,-0.40440127,-1.2068346,0.5556661,0.07801365,1.2693003,-0.0071361535,1.4284744,0.06467628,-0.4731159,0.04359143,0.40517175,-0.051487897,0.39940223,0.039779227,0.009180843,2.1789527,0.019212274,0.03315043,0.0618318,1.6012739,0.05187935,-2.0351422,0.7835296,-0.09131037,0.05471863,-0.32963052,0.023065155,4.092726e-06,0.034009144,0.02985376,0.104987726,0.06448111,0.08245907,-0.03735694,0.010949343,2.8245733,-0.0018684492,0.0311449
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,-0.0017376867,-2.363257,0.0049077286,1.4306492,0.0034682779,0.33990774,0.05757147,-0.0032172413,0.071224034,0.017216284,1.0866945,0.028934717,-2.070672,0.019351292,0.074023746,-0.042643905,0.11676585,-1.418769,1.0162581,0.033146862,0.048340876,0.04215307,0.024208076,-0.063779846,0.0031435662,-0.074158445,0.76752263,0.5317495,0.099308,0.019773217,-0.03570296,0.038529508,-0.31729743,0.033056017,0.09411532,0.67452514,0.11183798,-0.0053128945,-0.8206414,-3.2530406,-0.032256734,-0.5708915,0.05685618,-0.034628756,-0.06969746,0.37212572,-0.030602068,2.1481571,0.030424986,-1.1927389,-0.52618915,-0.012219781,3.288552,-1.4268265,-0.017207384,-0.740999,-0.5085454,1.7048075,-1.9532886,0.012343135,-0.56261075,0.023013167,0.08022572,1.6708417,1.9375131,0.06740548,0.50187194,-0.81901085,0.71256095,0.026209395,1.4584628,-0.031472888,1.4032099,0.16963644,-0.6766512,0.026495473,-0.41066524,-0.069676094,-0.8571771,0.021087732,0.028589038,1.3043102,0.013940044,0.03862827,0.06316126,1.483948,0.07157258,-1.5679861,1.1115798,-0.13477144,0.05459488,-0.16393065,-0.016704587,-0.001993842,0.035002407,0.06378787,0.08063918,0.09147459,0.07638582,-0.005664119,0.022082573,2.7838058,-0.0025084666,0.039526623
*OCCN(CCOC(=O)C(CCCc1ccsc1)C(*)=O)c1ccccn1,-0.3432252,2.9389224,1.3219053,-0.020264486,-2.8798568,-0.020819323,1.0743107,0.010076187,-0.7927203,0.06232881,0.04271354,0.093042806,-0.16160414,0.830532,0.0037536132,-1.9476657,0.013061946,-0.086625755,-0.016349716,0.07822013,-1.3906052,0.18650158,0.078240566,0.085902885,0.053836733,-0.021769015,-0.072730474,0.011685932,-0.06758649,1.0226996,0.1708625,0.43558967,0.007848184,-0.0057334076,0.034626324,0.031876776,0.029896852,0.12216501,-0.6391945,0.08591622,0.02284405,-0.9145082,-2.9741752,-0.025701672,-0.6419523,0.06230307,0.0030671363,-0.04522736,-0.5908563,-0.033866335,2.6519537,0.016056307,0.123293936,-0.012185589,0.019863833,3.2841156,-1.080741,0.022026887,-0.937014,0.07515451,1.376567,-1.7399001,0.011436023,-1.3784938,0.043206505,-0.887918,1.2270366,0.95440537,0.025330227,-0.14955494,-1.3909308,0.7652273,0.064737774,2.2799149,-0.00076559605,1.5343499,0.16167057,-0.022097511,0.020767359,0.85891795,-0.054495577,0.19945796,0.024897033,0.05342432,1.1683211,0.008726732,0.025841229,0.05613489,0.774143,0.04573834,-2.3942366,1.4010757,-0.13349983,0.035800252,-0.45711595,0.021837214,0.008400254,0.043649767,0.04150929,0.090328455,0.10851804,0.0798422,-0.035137884,0.04269106,2.1497889,-0.012246304,0.03840039
*OCCNC(SCCOC(=O)C(CC1C=CC=CC=CCC1)C(*)=O)c1ccccn1,-0.37078717,2.5952528,1.3298146,0.0035387813,-1.9246405,0.008958787,1.2054098,0.005103674,-0.3164452,0.032819252,0.019105894,0.08233415,-0.23406518,2.0928533,0.0036542,-2.0400665,0.055917017,0.052486468,-0.008786504,0.10478813,-0.5986121,0.25774443,0.07697844,0.09593563,0.022294559,-0.00065755483,-0.08091244,-0.019728376,-0.045689166,-0.27866924,0.55833143,-0.21400416,0.006664368,-0.04253405,0.06605207,-0.10827265,0.026051441,0.09551234,-0.32667074,0.031525873,-0.0051857894,0.33688802,-3.1566646,-0.032981455,-0.3858312,0.033104125,-0.0282356,0.018234035,0.06867874,-0.040121283,3.163236,0.029797703,-0.015082196,-1.263022,0.033581153,2.1404788,-0.28106368,0.016947165,-0.4822384,0.22982043,1.5349972,-1.3135523,-0.0040155537,-1.3661699,0.061762154,-1.2513124,1.7976716,0.7203446,0.028773226,0.2648825,-0.996951,0.49593434,0.028891405,1.6291662,-0.031711828,1.0661099,-0.5103468,-0.30174282,0.030135252,0.8094389,-0.054007523,0.21517575,0.017767332,0.04808712,1.8855561,0.0117197065,0.008817338,0.051044766,0.20363918,0.057945427,-3.0167844,0.919018,-0.12535065,0.018734695,-0.1996295,-0.0003991195,-0.012039142,0.02304064,0.07146629,0.06947421,0.0646156,0.0797363,-0.04450821,0.018673697,2.2143013,0.036293015,0.01789432
*OCCNC1=NC(SCCOC(=O)C(CCCCc2ccccc2)C(*)=O)N=C1C#N,-0.35431352,2.6292381,1.168931,-0.014762747,-1.6263281,-0.0059030373,-0.08437332,0.020127984,-0.39744294,0.05585195,0.006558408,0.1015676,-0.10514884,0.6772131,-0.016284164,-1.8118094,0.059037607,-0.087598875,-0.009423682,0.10540985,-0.2219288,0.011280048,0.07046354,0.077833675,0.0285598,-0.019251099,-0.05203682,0.023252971,-0.039325558,0.8517604,0.8769631,-0.10268115,0.007204302,-0.040787917,0.06821297,-0.04054939,0.027165078,0.0874165,0.6567336,-0.020701684,0.01222246,-0.66716665,-2.6764736,-0.0048049195,-0.53659296,0.07025702,-0.019719806,-0.07569035,-0.44862944,0.0067881644,2.9374008,0.040780816,-0.29668,-0.1683724,0.03360373,2.7502239,-0.49850303,-0.00090452033,-1.1897464,0.53261715,2.4052436,-2.0362902,0.011515308,-1.3689557,0.041394856,-1.100168,1.5118418,1.0751671,0.028626584,0.6246653,-0.390435,0.63635033,0.06111805,1.2501283,-0.0027683682,1.9408815,0.07423904,-1.1334211,0.039481863,-0.32195523,-0.029081669,0.31893566,0.029226106,0.014078944,1.5836849,0.025647048,0.040488593,0.077786766,0.21134752,0.06360034,-3.0754466,1.0668725,-0.13384812,0.03554931,-0.3064824,0.0021484322,-0.0032137786,0.05310057,0.045814395,0.097515084,0.11726261,0.11155247,-0.010272912,0.014758668,2.6822405,-0.02188217,0.008142354
