polymer,monomer_phi,homo_lumo_gap,chi_water,num_fluorine,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NC=C1C=CC(CNC(*)=O)=C1,-0.2544419765472412,2.7960307598114014,1.1455609798431396,-14.0,0.029418806,1.4121537,-0.042000487,0.64092404,-0.04886147,2.3546274,0.035155106,-0.017800065,0.06633412,-0.05172823,-0.016471546,-0.00085350976,-0.8164345,0.03948124,-0.087870866,-0.04100215,0.11446601,-0.003872063,0.37522128,-0.024598397,0.015952563,-0.008324141,0.008671597,-0.09078643,0.044754706,0.0024155565,0.70518756,0.14172296,2.3142843,-0.056068648,-0.053357225,0.0021963052,-0.74642617,-0.049136627,0.013482054,0.9622296,-0.057724994,-0.053996436,-0.12573808,1.1821254,0.0009163922,0.2609816,-0.002705799,-0.057441,-0.06177159,-0.29956773,-0.03711339,-0.49648324,-0.018048069,-0.3670593,0.73123246,0.01849437,-1.6404684,0.5751167,-0.039866555,-1.460543,-2.8637233,0.3615271,0.51637447,-0.049104303,1.1522267,0.065871485,-1.2403945,0.97345364,-0.23161358,0.040293396,-1.30726,1.2540821,0.557082,-0.013432993,0.5770198,-0.058097128,1.6996508,0.47345346,1.2961009,0.0032105355,0.25293854,-0.009827956,-1.3640678,0.008619814,0.00046298603,-1.4747825,-0.048965532,0.036556702,0.056343783,-0.15601158,0.008428942,-0.1533968,5.576598,-0.14108832,0.039914846,0.24881978,0.0135563435,-0.079024315,0.011102055,0.0372028,0.04903748,0.038046874,0.046793565,-0.05504664,0.021458033,0.08069046,-0.0434432,-0.025029687
*OCCOC(=O)NC=CC=C(C=C)C(C=CC=C(F)C(F)(F)F)C(F)(F)C=COC(=O)NC=C1C=CC(CNC(*)=O)=C1,-0.3316313922405243,2.2345409393310547,1.0663968324661255,-6.0,-0.012988046,3.0561752,0.0005644437,1.2095048,-0.037000258,1.1092727,0.0065637752,-0.0028041345,0.055682592,0.13458505,-0.8015862,-0.01819255,0.3129523,-0.0076604886,0.05421341,-0.05594543,0.0906711,1.0925821,1.6882147,-0.00039115417,0.07228702,-0.00020279836,0.039465044,-0.06766618,0.023514269,-0.015786296,-0.084296815,1.0821322,2.3671336,-0.04968404,-0.08386336,0.025927486,-1.1102238,-0.035348814,0.014756043,0.77188987,0.12125088,-0.0059090806,-0.5384405,0.75482243,-0.028459104,0.42605966,0.008819893,-0.065055594,-0.05205542,0.025892854,0.006096262,-2.323024,0.014765791,0.40705433,-0.27593637,0.008909447,-0.14356937,0.5963523,0.002118755,-1.9184995,-2.256905,0.41871285,-0.35908413,-0.049470715,0.52262574,0.026820228,-1.433906,2.4642017,0.5001967,-0.012066164,-1.1787786,0.07072421,0.6967611,0.020754002,0.50359637,-0.0064752204,1.3998022,0.40146345,2.3665006,0.013164509,-1.2240422,-0.019448105,-0.98482454,-0.022418221,-0.044626053,-1.4267083,-0.04065347,-0.014741114,0.030949488,1.2680849,0.007675213,0.83432394,4.876613,-0.10880388,0.038651384,0.19838293,-0.018927457,-0.029004103,-0.015907189,-0.0022200868,0.08110169,0.06521395,0.066858165,-0.033410814,0.010754439,1.3594003,-0.009917718,-0.0020435618
*OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,-0.23370157182216644,3.8145716190338135,1.1886866092681885,-14.0,-0.005737506,1.6803566,0.009050464,0.34402928,-0.004636273,0.38707742,0.025671719,0.01571405,0.06811631,-0.023705507,-1.198351,-0.038224652,0.85318005,0.014625506,-0.039599843,-0.059721313,0.1137623,1.5934874,0.7369362,0.0036866798,0.030060196,0.017622327,-0.022025803,-0.03334004,0.04254344,-0.0011808791,0.6925343,1.3962574,1.1792414,-0.051199924,-0.058426943,-0.014780789,0.39303055,-0.014345992,0.047800053,-0.312507,0.031026408,-0.05398546,-1.5942521,-0.007040688,-0.007951019,0.68718743,0.014721937,-0.086393215,-0.05438239,0.3488971,-0.015358371,-0.9349345,-0.019583762,0.3401447,0.52309024,0.0120517025,-0.8897439,-0.015636053,-0.038007252,-2.396105,-2.2307665,2.025626,-0.16692653,-0.047953263,0.90188736,0.029147174,-2.173423,1.4826512,1.3619645,-0.0062438473,-0.29078883,-0.14553915,0.45679247,0.00821771,0.65759254,-0.009444957,1.0637727,1.0048336,1.4537002,0.019652797,-0.6581714,-0.040033255,-1.6918566,-0.0073361374,-0.034213193,-1.1097308,-0.08365922,0.003833071,0.005287949,0.42716524,0.024673294,0.7455599,4.421772,-0.14089115,-0.0015876017,0.1346137,0.00427422,-0.07093724,-0.01706007,-0.0112606175,0.08942836,0.028860332,0.045329202,-0.041114356,0.021808859,1.1637061,-0.041524734,-0.0065390035
*OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,-0.2542382478713989,3.880143880844116,1.1373484134674072,-8.0,0.007840369,1.5260249,-0.036236193,-0.25864798,-0.039735693,0.81648964,-0.0007331874,-0.009623287,0.02507447,0.105669476,-1.645085,-0.0023289556,-0.28233382,-0.0071479487,-0.006886916,-0.068890356,0.10508918,1.6134334,0.44971117,-0.011121815,0.05613032,0.023272445,0.037568174,-0.07204179,0.027495412,-0.022104261,-0.11429233,1.0694858,1.7974342,-0.022002293,-0.06894951,0.012673998,0.2545863,-0.03936068,0.047238983,0.2656463,0.10480354,-0.0073434515,-0.15921645,-0.40859994,0.021134876,0.38292137,0.04152637,-0.039988518,-0.06677919,0.81794757,0.010027274,-1.194171,0.027431635,-0.05465985,-0.24285467,0.018233255,-1.4981406,-0.22246726,-0.015813045,-2.2624514,-1.5987678,1.5751481,-0.60560405,-0.009866915,1.044018,0.05004478,-1.7152405,1.783743,-0.056347385,0.029587368,-1.0715181,0.5211935,0.46648932,0.030182267,1.102447,-0.038842935,1.1274294,0.48328283,0.6989537,0.034291808,-0.725834,-0.039260168,-2.1366415,0.016891103,-0.043539952,-0.11782855,-0.065190025,0.03280989,0.003505655,1.3897042,0.043659218,0.359481,4.9544344,-0.10127954,0.016394924,0.16284712,-0.020917352,-0.04469755,-0.009059507,0.019746277,0.05989782,0.050915856,0.067081586,-0.026183574,0.013005371,0.5414079,-0.040247876,-0.018474175
*OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,-0.2500115633010864,3.8977930545806885,1.1737852096557617,-12.0,0.0069953795,2.6545212,-0.0399356,-0.07849757,-0.03453965,1.9871092,0.007845564,-0.034263458,0.044038814,-0.0035233619,-0.5682803,-0.031098349,0.36006325,-0.008307988,0.15713644,-0.086162515,0.10415613,0.1606384,0.21940878,-0.01771324,0.02703103,-0.00021658344,0.016078027,-0.035586555,-0.0020573928,-0.007857302,0.7429659,0.9110979,2.2089162,-0.050194595,-0.060689643,0.014486393,-0.68393624,-0.044685204,0.030359931,1.038485,0.04534428,-0.035078313,-0.59978473,0.53225404,0.015233734,2.0184097,0.027029302,-0.08285688,-0.011852337,1.0950398,0.009528332,-1.4675347,0.026864126,1.2819085,0.5899997,0.013986437,-1.1500059,0.4557393,-0.0351551,-2.5971487,-2.6247675,2.0900502,-0.04022914,-0.040512208,0.7009635,0.030586958,-2.4492586,2.4467103,0.7634466,0.015776623,-0.91932076,-0.2739152,0.9708463,-0.005948882,0.31900963,-0.05103657,1.5934618,1.1232865,1.1004602,0.0221419,-0.22504023,-0.06857536,-2.3198082,-0.018022627,-0.033480994,-1.4893209,-0.04786177,-0.012490645,0.034972284,-0.06173832,0.044447947,1.7211463,4.921042,-0.13642795,0.032684185,0.15836425,-0.01992193,-0.040445562,0.02968652,0.032830685,0.060926344,0.031788304,0.053360518,-0.034154046,0.0100888675,0.34074077,-0.024983604,0.01554647
*NC(=O)Oc1ccc(C(c2ccc(NC(=O)OCCO*)cc2)(C(F)(F)F)C(F)(F)F)cc1,-0.2734498977661133,3.7729601860046387,1.165372610092163,-6.0,0.014158094,2.933637,-0.008814507,0.2026167,-0.03472702,2.1224391,0.029042875,0.014908757,0.06552514,0.07680232,-0.47919944,-0.020499786,-0.7296231,0.021932349,0.031580597,-0.0734584,0.08273736,0.5479444,0.43102285,0.012837629,0.076653175,0.01955844,0.002213854,-0.0501242,0.016910385,-0.048503358,0.21729012,1.0137253,2.3707364,-0.053847805,-0.067956224,0.017535238,0.090410955,-0.004103354,0.039601363,0.8756084,0.08190052,-0.01579077,-0.41712928,1.1235045,-0.010002731,0.34885892,0.020471588,-0.08814984,-0.1130657,0.7984866,-0.026907735,-0.62212646,-0.014284849,0.36158028,-0.5624844,0.012677574,-0.4798432,0.50184476,-0.02745141,-2.816889,-1.5797352,0.55053973,-1.2294073,-0.012188369,0.59753865,0.021277653,-1.3873756,1.0908144,0.9777463,0.03641056,-0.03949679,0.49506763,0.6358026,0.025686242,1.5557225,-0.01459996,1.1186808,-0.021614736,1.2325985,0.05051215,-1.1431259,-0.040092103,-1.231923,0.023065165,-0.044010982,-0.26995924,-0.04744768,0.005287109,0.052708775,-0.029717462,0.056140997,1.1122481,5.425682,-0.09644039,-0.0066449125,0.27080998,0.01321592,-0.0759833,-0.009465364,0.02478157,0.09088017,0.026617145,0.051748786,-0.046041664,-0.0030612235,0.09906592,-0.04170217,0.0078833345
*OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,-0.2500115633010864,3.8977930545806885,1.1737852096557617,-12.0,0.022191703,2.7977815,-0.033854418,-0.009254584,-0.030771606,1.0662365,0.02551533,-0.03579076,0.027599795,0.14125238,-0.8573789,-0.030749789,-0.31161785,0.011445362,0.106061436,-0.064894296,0.07017805,0.094047844,0.588225,-0.0060192486,0.025893964,0.042149335,0.035523992,-0.044707887,0.027676826,-0.02891568,-0.78311986,0.43503284,1.9687763,-0.029247083,-0.052530695,-0.008122642,-0.18231289,-0.026848525,0.05031244,0.01491958,0.013267326,-0.0055368887,-1.086993,0.21280293,-0.012705316,1.0761228,0.050640073,-0.06271085,-0.07419011,1.0467376,0.0054375026,-2.1341863,0.02296019,0.7156548,0.04977741,-0.0048984974,-0.5164074,-0.2928997,-0.0020665622,-2.4350755,-1.9536505,1.4358052,0.3242333,-0.032342885,0.7253299,0.06072714,-2.8955374,1.7681712,0.5945144,0.026788035,-0.610808,0.54158604,1.0016775,-0.009458721,0.2636341,-0.049815208,1.0139165,0.3868867,1.57581,0.05590558,-0.4066781,-0.050132185,-0.6041383,-0.016165303,-9.020791e-05,-0.2962125,-0.06103712,0.01604585,0.020146182,-0.15360738,0.0006682888,0.89179915,4.1409335,-0.12634255,0.018566841,0.17777628,-0.028288877,-0.050406557,0.004091677,0.010535813,0.0991259,0.062132128,0.043240365,-0.010099525,0.040970776,0.34980214,-0.007558341,-0.0031804256
*OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)NC=C1C=CC(C(c2ccc(NC(*)=O)cc2)(C(F)(F)F)C(F)(F)F)=C1,-0.23415742814540863,3.141533374786377,1.1712909936904907,-18.0,-0.011067497,3.030935,-0.006974238,-0.21565446,-0.02433928,0.73166,0.02946214,0.0061333533,0.040188286,-0.012054269,-1.3983678,-0.014478108,-0.0651723,-0.014172819,-0.0004152842,-0.085456796,0.08681454,0.7779153,0.22933123,0.014239686,0.04761105,0.009379754,-0.0050679063,-0.06887882,0.0022790218,-0.04642794,-0.61441064,0.65381384,1.4935231,-0.026254497,-0.034765217,0.02390271,-0.19717848,-0.03222676,0.014136863,0.067471005,0.02840052,-0.049758796,-1.3939581,0.7802825,0.008605038,0.7474683,0.003651693,-0.08892421,-0.07597635,1.1574336,0.016508011,-2.12766,0.008411842,-0.3384906,-0.5783164,-0.03060176,-0.2910562,0.56029665,-0.01858355,-3.0334468,-2.5613828,0.69428414,0.4435055,-0.03407382,0.92562824,0.06285013,-2.3912642,1.5052977,1.1170576,0.023171328,-0.87763786,-0.19975162,0.6664679,-0.01400475,1.4673966,-0.057097286,1.1466721,0.7763325,1.2740086,0.02706716,-1.1393039,-0.049845938,-1.9712635,0.0022664503,-0.049676225,0.029323423,-0.06095963,0.02747278,0.003353407,1.5537136,0.039045203,1.3067361,4.339725,-0.10390255,0.01978415,0.26318562,-0.0063885767,-0.03117593,0.00754625,0.007864819,0.094750285,0.051498685,0.06503656,-0.022739425,0.016071359,0.832373,-0.028920231,-0.0034122989
*OCCOC(=O)NC=CC1=C(C(C=CC=C(F)C(F)(F)F)C=COC(=O)NC2=CC=C(C=C)C(c3ccc(NC(*)=O)cc3)C=C2)C=C1,-0.28714707493782043,2.065540313720703,1.1200922727584839,-4.0,-3.264042e-05,2.9610832,-0.040642038,0.020357441,-0.030960016,2.3373122,0.021865647,-0.0021130173,0.05006587,-0.12724979,-0.15809336,-0.012473622,-0.6230408,-0.0068202633,0.14817879,-0.09112527,0.067591734,0.7972385,0.42984903,-0.018652815,0.05255346,0.028055046,-0.0152298445,-0.087351985,0.03690995,-0.009384706,-0.66806096,0.22066212,2.383197,-0.021576531,-0.040459152,-0.0025594402,-0.9111275,-0.03133491,0.059890434,0.99417454,0.105568,-0.042800423,-0.2526106,0.36728576,-0.007699884,0.864342,0.011248006,-0.087547004,-0.068931885,0.39489627,0.012709374,-2.0116966,0.0038943843,0.18839478,-0.7193612,-0.023191735,-0.39958715,1.083,-0.03339161,-2.5226932,-1.7960775,0.80788183,-0.51630664,-0.016062748,1.1312375,0.06490222,-2.2175617,1.2028468,1.113665,0.0099660475,-0.26391006,-0.06055109,1.16859,0.025100179,1.4616666,-0.032482803,0.90091956,1.114666,2.2576795,0.040610574,-0.2124822,-0.067312956,-0.7428421,-0.013414269,-0.006987858,-0.39495772,-0.034566592,0.035567295,0.048334457,0.9949823,0.038455904,1.6930034,5.278175,-0.12210636,0.02523902,0.24089243,0.0052047474,-0.06790992,-0.009170266,0.023215586,0.108445704,0.016341291,0.047195546,-0.0010557373,0.038139585,0.7082457,-0.01754618,-0.011560383
*OCCOC(=O)NC=CC=C(COC=CC=C(C=C)OC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1)C(C)(F)F,-0.29769736528396606,2.43721866607666,1.0741862058639526,-2.0,-0.021408,2.7818983,0.0049846424,0.106415175,-0.062279817,0.88343567,0.008960773,0.0058140294,0.054286543,-0.109681875,-0.69933647,-0.048756726,-0.45912167,0.017845457,0.019140106,-0.090618305,0.06817853,0.9568939,1.4099056,-0.015497843,0.0530146,0.026806742,-0.011043469,-0.06662017,0.037684273,-0.011251569,0.6413823,1.2995093,1.0447972,-0.05143053,-0.08241798,0.0280883,-0.8191866,-0.043375473,0.048827525,-0.2932678,0.014947775,-0.035204433,-1.16837,0.7499956,-0.0065479227,1.6536919,0.029341908,-0.050202705,-0.09273006,0.044343434,-0.012921217,-1.711858,0.007451439,1.002338,-0.94592226,0.0075001325,-1.557677,-0.05173152,-0.0044654515,-2.7274754,-1.7781515,1.3627836,-0.16425537,-0.013374674,0.9452657,0.0598749,-1.4525948,1.6200663,0.77434814,0.0206092,0.16675527,-0.5519859,0.70097524,0.028035479,1.0630804,-0.024552703,1.6144782,0.09363039,1.8861938,0.031813346,-1.0979403,-0.044006012,-1.9549797,0.0010834121,-0.0056016683,-1.3052437,-0.074445136,-0.015927449,0.024659066,0.54767334,0.007989898,1.320394,4.7875986,-0.12510636,0.03137712,0.12160806,-0.037339356,-0.077094644,0.024178023,0.005193611,0.1123268,0.039558847,0.0871601,-0.045419015,0.002799007,1.1363467,-0.018774662,-0.022190448
