polymer,monomer_phi,homo_lumo_gap,chi_water,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104
*OCCSC=C1C=CC(SCCOC(=O)C(CCc2ccsc2)C(*)=O)NC1S,-0.40746146,2.8274927,1.2188352,0.011210352,-1.6790869,-0.017122606,0.22120997,0.02409909,-0.619254,0.020853385,-0.025785657,0.1032649,-0.1687747,1.8060986,-0.011818752,-2.2902083,0.06476113,-0.021762159,0.0046696425,0.07517636,-1.5182548,0.34949484,0.11416408,0.05174589,0.058141828,0.011694095,-0.113294035,0.02807965,-0.007416066,-0.05377647,-0.39214122,-1.3298316,0.024085408,0.0022563543,-0.00045561904,-1.1713938,0.015079005,0.065965496,0.14911737,0.21613622,-0.012154691,-0.49464363,-4.969447,-0.06332007,-2.4768658,0.072171815,-0.05749189,-0.016493762,2.0941968,-0.07086544,0.74552,-0.008287118,0.3980471,-2.085321,0.033706658,2.82744,-2.1101022,0.011160849,-1.3397422,1.0997064,2.003001,-3.3944318,-0.026166173,-0.27548146,0.04958635,0.9148697,1.7407727,1.2423259,-0.0071661687,0.9913043,0.05947819,0.1097536,0.06330824,0.5682691,0.023474324,1.3804805,-1.3017108,0.065454595,0.026830437,-0.8166509,-0.011032632,-0.05593075,-0.00659145,0.0155353425,3.5085719,0.0121771665,0.007853066,0.086565465,1.6854012,-0.011309057,-1.1709458,-0.35896626,-0.15748282,0.07305897,-0.050136838,-0.015121535,0.040167514,0.06377755,0.05528561,0.12586583,0.1223759,0.07001134,0.01747385,0.009715136,1.8865126,-0.04438284,-0.0115456125
*OCCSC(C)(SCCOC(=O)C1C=CC=CC=Cc2cc(c(CCC(*)=O)s2)CC1)c1ccccc1,-0.33386436,2.8154821,1.3096198,-0.061686818,-2.7652109,0.038656417,0.49349713,-0.027900193,-0.0038875912,0.037154928,0.0006820608,0.09894801,-0.14889458,2.920185,-0.012791884,-0.84875613,-0.019095117,0.064139366,-0.021000385,0.1069137,-1.1980131,0.5552138,0.1067145,0.053871892,0.09965036,0.033874106,-0.08277015,0.018994551,-0.10157346,1.8475697,1.1513907,0.28326818,0.043907907,-0.02297205,-0.007306582,-0.41389996,-0.001032045,0.106262244,1.3914183,0.19500263,-0.006466625,-0.04777454,-1.2053078,-0.039342273,-0.8406631,0.00862682,0.027118046,-0.057393078,-1.3043929,-0.020394078,1.6877418,0.042678084,0.96625537,0.23155865,-0.012403276,2.0335782,0.5322308,0.016364165,-0.44685823,1.2709334,1.1985602,-4.0132504,-0.009765765,-1.2274678,-0.00085007004,-0.1949283,0.96094745,3.2519937,0.028090693,-0.15576543,-1.363428,0.09386256,0.006041424,1.9520537,-0.05962467,1.947052,1.7725435,1.425493,0.064973414,0.60936266,-0.03131005,1.5052472,0.065439604,0.039086543,3.207588,-0.004323397,0.059748594,0.03000942,-0.6758248,0.08988061,-3.0680597,0.6797381,-0.1500139,-0.0038599505,-0.49346521,0.0070386147,0.018082224,0.008093143,0.008046263,0.04628025,0.056051303,0.13919409,-0.009798423,0.053122327,3.2356043,-0.009844673,-0.0018236262
*OCCN(CCOC(=O)C(CCc1ccsc1)C(*)=O)c1cccc(C)c1,-0.32191014,2.6492,1.3197303,-0.016136926,-4.289821,0.00836986,0.76127774,-0.0129530355,-1.5123533,-0.015063529,-0.0005250755,0.1092373,-0.28643194,0.16478221,0.040692814,-3.9583948,0.08215032,-0.1598929,0.0053127343,0.05414088,-1.6747448,-0.7242086,0.0117244525,0.14013985,0.049935613,0.0021248444,-0.11898614,-0.009174947,-0.09139522,1.97795,0.880399,1.3325726,0.017044865,0.028936775,0.04120698,1.2514522,0.0089275595,0.11170337,-0.36082274,-0.089645706,0.0010168281,-1.414709,-2.2069798,-0.042487733,-0.94537485,0.029535092,0.022028353,0.006067374,-0.22678062,0.0013426465,1.9879221,-0.0010199018,-2.0904078,0.02252175,0.021522254,1.1945176,0.52317137,0.011853789,-1.1560693,0.730982,2.55041,-2.085497,-0.0008272449,-1.760714,0.075765155,-2.2675433,3.0255573,3.217728,0.051613238,0.8461704,-0.57216144,0.24044646,0.08363448,1.9503108,-0.028876696,2.136583,1.0546123,-0.15431735,-0.015300695,1.7632374,-0.052728422,0.8928498,-0.004810466,0.06785492,3.089652,0.027489547,0.009370848,0.06793615,-0.70836467,-0.008238689,-1.3891262,-0.8183011,-0.068988256,0.0650799,-0.48489398,-0.041961055,0.017888563,0.006161247,0.017425543,0.037166532,0.055881124,0.04281825,-0.013144455,0.075723976,2.5586057,-0.023481043,0.020139383
*OCCN(CCOC(=O)C(Cc1ccccc1)C(*)=O)c1ccc(SC)cc1,-0.32550007,2.5468693,1.2857449,0.042634565,-3.0334086,-0.06453167,2.4530263,0.004120321,-2.3709419,0.07532422,0.041987605,0.11361794,0.16197823,-0.4180138,0.022396857,-3.9038823,0.05775326,0.18895535,-0.01297548,0.12594213,-1.4686556,1.5590081,0.066218376,0.06302248,0.009449311,0.020638904,-0.05323735,0.0033497985,-0.040216077,1.0546296,0.8159614,0.7625372,0.035485364,-0.0576694,0.08478949,-1.2947692,0.051686257,0.06888634,0.8781183,-0.0060166055,-0.040185876,-0.20671833,-2.5564167,-0.06311067,-0.2985995,0.014127302,-0.016402148,-0.15009025,1.0885412,0.020067884,1.139617,0.063268624,0.018978182,0.4376314,0.03577082,2.068097,0.426195,0.03651783,-1.8458968,1.1109107,2.9735806,-1.97585,-0.010944128,-0.29864487,0.024297925,-0.59991604,0.22390057,1.2847852,0.06510053,0.63706535,-2.925008,0.943386,-0.0074531594,1.5245538,-0.018255258,0.6958138,1.7686065,-1.6280106,0.0491761,0.71257156,-0.09584588,-0.06436036,-0.00993283,0.024016716,1.8038868,0.03752221,0.07981256,0.090024576,2.5501525,0.08402606,-2.325972,-0.87287056,-0.12431829,-0.01137149,-0.5825771,0.00523029,-0.0054348023,0.0066580935,0.012609646,0.1351884,0.07667541,0.121770516,0.027924651,0.055665277,1.5657115,0.064193875,0.04138094
*OCCN(CC=NC=C)CCOC(=O)CCCCSCCCCSCC(*)=O,-0.70010537,2.3859534,1.2866256,0.032656513,-3.6173687,-0.021928212,0.5232648,-0.012771489,0.3590827,0.04284648,-0.020867849,0.12982117,-0.23973915,0.19601361,-0.019032916,-3.6236947,-0.0016763572,0.22476941,-0.06841583,0.09144046,0.48769245,-0.41644,0.07631738,0.047252625,0.035856713,0.03362867,-0.089303195,0.003341985,-0.058324717,1.2524489,-0.34872925,0.9959951,-0.017210104,0.018684803,0.095823266,-0.9515904,0.0031847006,0.14140174,0.44533858,0.107385255,-0.03318949,-2.2619762,-4.283284,-0.008580341,0.43539774,0.06834407,0.023362564,-0.04841778,-0.5269137,-0.026917048,2.0639825,0.0037923323,-1.3399411,-2.3592527,0.025007235,2.9985676,0.31427526,0.016536199,-1.7050173,0.17448491,2.9214525,-0.2583238,0.007297853,0.19807841,0.06436693,-1.7218304,1.3536825,0.75159675,0.030321844,0.9997704,-1.9455001,0.16176789,0.026087025,0.26557302,-0.008933033,1.5923766,-1.3225273,0.45869148,0.07347105,-1.0972072,-0.09960153,-0.2624237,-0.03157192,0.0067381617,3.517488,0.053875756,0.0658569,0.053711463,2.2810512,-0.0016703956,-0.37936845,0.14044309,-0.16180557,0.05081618,-0.5718578,-0.020293728,0.017273787,0.097343,0.015415714,0.06537983,0.08047981,0.12424459,-0.056316968,0.08401753,1.8976897,-0.03809538,0.040341504
*OCCN(CCOC(=O)C(CCc1ccccn1)C(*)=O)c1ccncc1,-0.31501782,3.1024272,1.1330252,-0.018175272,-3.5115979,0.026593471,-0.86356753,-0.047642138,0.15970969,0.0040470418,0.045250207,0.06732295,-0.120414466,-0.13534874,0.012346157,-1.7438283,-0.009484873,0.261544,-0.026481714,0.04828207,-1.339367,1.3973454,0.082744956,0.11486027,0.016565507,-0.046795785,-0.1128519,-0.0026776788,-0.0699821,0.69641393,-0.19012249,-0.36532268,-0.024073001,-0.006214616,0.0011133199,0.6584186,-0.01654547,0.06763169,1.0875899,0.16473608,-0.038058452,-0.8333195,-1.9937137,-0.07053584,-0.59973115,0.090881586,0.005419021,-0.0772109,-0.64475125,-0.016247807,2.5893393,0.011911518,2.2560791e-05,-2.0909173,0.0475506,2.5204344,-0.7007156,0.046197947,0.3162915,-0.98342067,3.8619375,-1.3155028,0.02559413,-0.16801666,-0.0017821196,-1.5266501,2.7568696,-0.03707492,-0.0015171759,1.5495099,-1.9796062,0.61058474,-0.007575104,1.8403606,-0.055843886,2.3586583,-1.1157027,1.2116959,-0.0055947946,1.8863611,0.009561425,-0.0077172276,0.034176495,0.058185015,0.7245622,0.040277697,0.035041183,0.024522208,1.505687,-0.006814559,-2.1215916,0.16868412,-0.1677239,0.009152075,-0.5530947,-0.028036784,0.043499455,-0.0006932893,0.06650506,0.10237576,0.051564205,0.07541622,0.02050949,0.074669056,2.5015109,0.020364838,-0.008900215
*OCNCSCOC(=O)C(CCCc1ccccn1)C(*)=O,-0.42924038,3.0870497,1.2586399,-0.052388795,-3.6297326,-0.0033675046,-0.91948706,-0.046453457,-0.54966265,0.051982213,-0.039172567,0.117470264,0.059673883,1.9638789,0.047421955,-2.848659,0.09325031,0.11538849,-0.0060013575,0.14305384,-0.9181348,-0.18622123,0.05055843,0.019674331,0.026607413,0.06406707,-0.105923526,-0.023866521,-0.06578546,1.7717026,-0.35324296,-0.4483276,-0.02892244,0.0029080333,0.061791662,0.76824623,0.01463377,0.14512238,-0.022287292,0.16434199,0.012739323,-1.0178018,-2.215259,0.01879484,0.30584776,0.05973122,0.0070243976,-0.03945793,1.1759899,-0.06299757,3.6304166,0.068662785,-1.5142658,-2.2014472,-0.01671305,3.161705,0.56260365,-0.024244133,-1.167432,0.5529496,2.2329872,-3.4795287,0.007749274,-2.1271906,0.04313231,-2.1677234,1.9051173,0.30406922,0.055474695,1.1817034,-1.4422439,0.8527004,0.048147567,2.5258808,-0.0143610025,2.16954,0.6438494,0.16165133,0.054057658,-0.9149101,-0.00965721,-0.18656269,-0.0034197005,0.048188213,2.8235557,-0.03587681,-0.021935012,0.08775839,1.4052973,0.09957142,-1.7544079,0.5662541,-0.17010337,0.035101384,-0.6261433,-0.01678368,-0.007376901,0.008414751,0.0043169875,0.026875164,0.13500364,0.06903248,0.024259813,-0.011702734,4.3489437,-0.020315671,0.032570865
*OCCN(C=Cc1ccccn1)CCOC(=O)C(CCCc1ccccc1)C(*)=O,-0.3416394,2.5316427,1.2837514,-0.0036953231,-2.39418,-0.0134453885,2.2468731,-0.04926042,-0.049224716,-0.0075958055,-0.012567072,0.06354084,-0.14567268,1.680909,0.02138333,-3.7321074,0.09063699,0.17916065,-0.015419411,0.07687531,-2.2413259,0.5374212,0.038089488,0.04946087,0.036304303,0.039138366,-0.11292817,-0.01676742,-0.03651611,1.5069144,-0.35744652,0.26300117,0.03697152,-0.026523283,0.048194863,-1.4767383,0.055618826,0.097664975,0.4393735,-0.10991882,0.02679506,-0.26426473,-2.950771,0.017115323,-1.5218127,0.0004987431,-0.013251907,-0.11272034,1.5237278,-0.031669695,1.9974583,0.044963222,0.3670865,-0.9482689,0.061896186,4.6297407,0.4775656,0.031095378,-0.45186847,-0.357804,3.6612735,-2.387104,0.021351967,-0.49646837,0.08786445,-0.08185947,0.21281926,1.9815232,0.034634084,-0.86493486,-3.0298383,0.22418411,0.01851618,2.6673477,0.020851225,1.3496703,-0.96441746,1.3802831,0.039078526,-0.3652871,-0.076692246,-0.4033122,0.032882925,0.052570324,1.0061957,0.023120465,0.036010716,0.03605566,1.1408784,0.08174611,-1.6227456,0.70847815,-0.103943475,-0.010975841,-0.3279051,0.013767855,-0.0007250562,0.061741672,0.021269148,0.081144825,0.14718117,0.07766624,0.01945986,0.046242986,4.308009,0.027640985,0.022388432
*OCC(C#N)(C=CC=CN=CC=O)COC(=O)C(CCc1ccccc1)C(*)=O,-0.37134123,2.5434692,1.169204,0.017820746,-1.0936317,-0.03673112,1.7167122,-0.046943665,-0.044447973,0.0041552735,-0.018489547,0.045401182,-0.32932502,0.034632634,-0.01601917,-1.5624745,0.08129058,0.22855847,-0.0014313102,0.048206437,-1.9506234,1.0098785,0.048573583,0.10634284,0.06330793,0.0022502122,-0.11591551,0.01676741,-0.0088854795,-0.64436245,1.4246172,-1.3002366,0.003410273,0.005218644,0.034778796,-1.3147459,0.006514797,0.119845666,1.1912917,0.04482773,0.032599572,-1.5182745,-4.5892277,0.008389017,0.3748762,0.042907085,0.019395638,-0.104571015,1.5155196,-0.058214482,2.5251002,0.024685407,-0.7546741,-1.6582444,0.04910582,1.6359466,0.18717286,0.040517658,0.44270208,-0.8773291,4.0903077,-2.4748664,-0.013116017,-1.4365683,0.059070956,0.08404785,1.2817239,-0.32593277,0.04927033,0.23836383,0.49798954,-0.18984364,0.020020874,2.108635,-0.056372494,1.8134161,-1.321578,-0.8427258,0.037999157,0.28113708,-0.06446367,-2.038935,0.009531493,0.06679987,0.19617377,0.01484173,0.018710336,0.09360982,-0.6359507,0.04713585,-2.2943041,0.290438,-0.09593515,0.036351297,-0.00815074,0.037304945,0.024492659,0.10892653,0.046575457,0.08450702,0.14364088,0.035848673,-0.033186354,-0.00023805839,1.2368199,-0.050497588,0.05781348
*OCC(CC=C1C=CC=N1)COC(=O)C(CCCC(=O)CC)CCC(*)=O,-0.42591873,2.513634,1.2640164,0.007529182,-0.8616316,-0.06254465,0.3187626,-0.016636325,1.0947081,-0.01065472,0.03756345,0.13155942,-0.15298365,0.95529276,-0.005461814,-0.71910805,0.0808413,-0.045734867,-0.00048632835,0.120887,-2.5831137,-0.054407377,0.050432205,0.08380104,0.07717955,-0.038242724,-0.12415395,0.004243928,-0.06974456,-0.3909331,-0.14447387,-0.32847187,-0.005924489,-0.032809343,-0.0072989524,1.2309183,0.035986412,0.042250853,0.7202038,-0.09449177,-0.011445408,-2.2770915,-3.696803,-0.044788245,-2.0851536,0.063640684,-0.02891621,0.046684492,-0.8144227,0.009536304,3.1223946,0.017238334,0.5922113,-2.1246068,-0.0005792152,4.4734964,-1.6072353,0.011775403,0.7812677,-0.8108182,0.935484,-3.1632612,0.028864797,-0.5948403,0.04039588,-1.5119817,1.4404062,3.0795436,0.01664399,-1.1959163,0.015790205,0.90454733,0.09607966,0.2032616,-0.0045948876,1.9964156,0.36646768,0.9650904,0.09008213,-1.0564286,0.00068063615,-1.9292753,0.020316062,-0.0029823016,1.1231493,0.018673105,0.005409544,0.117325544,0.9961451,0.086912215,-1.5374401,2.1750824,-0.0845011,0.0038685533,-0.37468246,-0.021460457,-0.0060434653,0.034196865,0.014924683,0.04721805,0.034978252,0.07643465,0.021553809,0.06476974,1.4255062,0.06065984,-0.008852494
